ID,age,gender,usage_meeting_place,usage_worship,usage_arts,usage_wellbeing,usage_connections,usage_model_sustainability,usage_flexible_community/church,activities_like_to_see,usage_services,usage_festivals,reflection,usage_suggestions,modify_exterior,modify_interior,modify_sustainable_building,modify_layout_change,modify_cafe,modify_suggestions,contribute
120,50 - 70,Female,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Photography;Live theatre;Community cafe;Community cinema;Community book club;,Neutral,Strongly Disagree,Strongly Disagree,I have answered number 10 as strongly disagree purely because I already attend St Thomas’s church. I appreciate the type of worship at St Thomas’s does not suit all so another place of worship would be good. ,Neutral,Agree,Agree,Neutral,Agree,,No thanks
121,50 - 70,Female,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Creative workshops;Arts exhibitions;Live theatre;Community cafe;Community cinema;Community social events;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Live music;,Agree,Disagree,Neutral,,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Smaller touring arts events and exhibitions; craft fairs; community social events,YES -  I would be interested in becoming a volunteer
122,70 +,Female,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Neutral,Neutral,,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,,No thanks
123,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community social events;Fitness / yoga / pilates / dance classes;,Neutral,Disagree,Neutral,,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,,No thanks
124,50 - 70,Male,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Photography;Arts exhibitions;Community cinema;Pop-up fruit and veg weekly market;,Neutral,Strongly Disagree,Strongly Disagree,,Neutral,Agree,Strongly Agree,Agree,Neutral,,No thanks
125,50 - 70,Male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Drama;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;A toddler group;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
126,50 - 70,Male,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Arts exhibitions;Live music;Community cafe;Community cinema;,Neutral,Neutral,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
127,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Drama;Community cinema;Community social events;A toddler group;After school club;Activities for young people;Activities for children;Activities for seniors;Pop-up fruit and veg weekly market;Community cafe;A place to worship;,Agree,Agree,Neutral,,Neutral,Strongly Agree,Agree,Neutral,Agree,All of the suggestions would be of great benefit to the community. I personally would definitely make good use of a cafe and any type of art based activities.,YES -  I would be interested in becoming a volunteer
128,31 - 49,female ,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Photography;Arts exhibitions;Live music;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A toddler group;After school club;Activities for young people;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Neutral,,Neutral,Agree,Agree,Agree,Neutral,,No thanks
129,50 - 70,Female,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Community cafe;Community coffee mornings;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;A toddler group;Activities for children;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Neutral,"Meditation and sound bath classes. 
Slimming classes. Exercise for over 50’s. ",Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,With mental health issues being a big part of people’s lives after covid it would be an amazing place to meet other residents for a coffee instead of just a casual chat on the street. The area is full of people who live on their own and are lonely. The cafe etc are full of visitors from outside the area. I would be happy to volunteer. ,YES -  I would be interested in becoming a volunteer
130,50 - 70,Male,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Community cafe;Community book club;Community coffee mornings;,Neutral,Neutral,Agree,,Agree,Agree,Strongly Agree,Neutral,Agree,,No thanks
131,70 +,male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live theatre;Community cafe;Community cinema;Community social events;Arts exhibitions;,Strongly Agree,Neutral,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Relating to the previous questions and my positive answers which I have ticked . I feel that I have more than demonstrated my wishes for the project to be a success and all the options to be developed for the benefit of a broad spectrum of the Community and beyond !!,No thanks
132,31 - 49,male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Photography;Creative workshops;Live music;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;Activities for young people;Activities for children;After school club;,Neutral,Neutral,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I really welcome this initiative - it would be a great community asset.,YES -  I would be interested in becoming a volunteer
133,50 - 70,Female ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Arts exhibitions;Live music;Music / singing classes;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;,Strongly Agree,Disagree,Neutral,,Agree,Agree,Strongly Agree,Agree,Disagree,Great idea to provide community space to help improve area. ,No thanks
134,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Agree,,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,This building is in such a great location for community use. I am very excited about these possible future plans and would be happy to get involved.,YES -  I would be interested in becoming a volunteer
135,18 - 30,Female,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Counselling / wellbeing services;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Neutral,,Disagree,Neutral,Strongly Agree,Neutral,Neutral,,No thanks
136,70 +,Female ,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Pop-up fruit and veg weekly market;Counselling / wellbeing services;Live theatre;Activities for seniors;Activities for children;,Neutral,Agree,Neutral,,Agree,Agree,Agree,Neutral,Neutral,,
137,31 - 49,Female,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Live music;Community cinema;Community social events;Fitness / yoga / pilates / dance classes;Creative workshops;,Neutral,Strongly Disagree,Strongly Disagree,,Neutral,Agree,Agree,Agree,Strongly Agree,"I think when things in the building are linked to religion in any form, there is a large clientele that straight away will be uninterested. 
There is so much that could happen it is very exciting. 
I think loads of the community have no idea what happens in the building",YES -  I would be interested in becoming a volunteer
138,50 - 70,Female,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;A toddler group;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;A place to worship;Counselling / wellbeing services;,Strongly Agree,Strongly Agree,Strongly Agree,,Neutral,Agree,Strongly Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
139,31 - 49,Female,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Creative workshops;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for children;Activities for young people;Fitness / yoga / pilates / dance classes;After school club;A toddler group;Live music;Live theatre;,Neutral,Strongly Agree,Agree,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
140,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Drama;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Counselling / wellbeing services;Fitness / yoga / pilates / dance classes;,Neutral,Disagree,Agree,,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,"School art displays on a theme (not sales just to show off work) 
",No thanks
141,31 - 49,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community social events;Community cookery;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,"It would be good if the kitchen/cafe allowed some of the amazing restaurants in town to do pop-up’s (Death By Taco’s/Meltdown etc..)

Language classes would be good too.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"There is a really strong community spirit in the Garden Quarter and it would be great for it to have a focal point.

Centralised info on joining volunteering schemes in the GQ would be good.",YES -  I would be interested in becoming a volunteer
142,50 - 70,Male ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;After school club;Activities for young people;Activities for children;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
143,31 - 49,male,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Creative workshops;Arts exhibitions;Live music;Music / singing classes;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Strongly Agree,communal garden,Agree,Agree,Agree,Agree,Strongly Agree,"communal kitchen, garden area",YES -  I would be interested in becoming a volunteer
144,18 - 30,Female,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Creative workshops;Photography;Live music;Arts exhibitions;Music / singing classes;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Community book club;Creative writing;,Neutral,Agree,Neutral,,Disagree,Agree,Strongly Agree,Agree,Agree,,
145,70 +,male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Arts exhibitions;Live music;Live theatre;A place to worship;,Strongly Agree,Agree,Neutral,,Neutral,Agree,Agree,Neutral,Neutral,,No thanks
146,70 +,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Arts exhibitions;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community book club;,Neutral,Strongly Disagree,Disagree,"I do not have a practising faith--so these questions are not relevant to me personally, but I appreciate that they may well do for name other residents",Neutral,Agree,Strongly Agree,Agree,Agree,,No thanks
147,50 - 70,Male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community book club;Fitness / yoga / pilates / dance classes;Activities for seniors;Counselling / wellbeing services;,Neutral,Neutral,Agree,In door sports - eg table tennis ,Neutral,Neutral,Neutral,Agree,Agree,"A building able to accommodate events suitable for all members of the community. Events - live music, film, drama, table tennis, club meetings. The Hive in Shrewsbury would be something to aim for. ",No thanks
148,50 - 70,Male,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Creative workshops;Live music;Community cafe;Community coffee mornings;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;,Neutral,Neutral,Disagree,,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,,No thanks
149,50 - 70,Male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Pop-up fruit and veg weekly market;Live theatre;,Disagree,Neutral,Strongly Agree,,Agree,Agree,Strongly Agree,Agree,Strongly Agree,,No thanks
150,31 - 49,Male,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,A place to worship;Community social events;Community book club;Creative writing;Creative workshops;,Strongly Agree,Strongly Agree,Strongly Agree,,Neutral,Strongly Agree,Neutral,Disagree,Neutral,,No thanks
151,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live music;Music / singing classes;Community cafe;Live theatre;Community cinema;Community book club;Fitness / yoga / pilates / dance classes;Arts exhibitions;Creative workshops;,Neutral,Neutral,Neutral,,Disagree,Agree,Strongly Agree,Neutral,Agree,,No thanks
152,31 - 49,,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Creative workshops;Community cafe;Community coffee mornings;A place to worship;Community social events;,Strongly Agree,Neutral,Agree,,Neutral,Neutral,Strongly Agree,Disagree,Agree,,
153,50 - 70,female,Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly Agree,Photography;Creative workshops;Creative writing;Live music;Live theatre;Activities for young people;Arts exhibitions;Community book club;,Agree,Agree,Disagree,I think drama classzes for young people may be a good option and perhaps a religious element could be incorporated into this.,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,I think a cafe could be helpful. The one that has replaced the Keg seems to be successful and people of all ages go there. ,No thanks
154,50 - 70,F,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Community cafe;Community coffee mornings;Pop-up fruit and veg weekly market;A place to worship;Community social events;Activities for seniors;Creative workshops;,Agree,Agree,Neutral,"Crochet, Knitting & sewing etc",Neutral,Agree,Neutral,Neutral,Agree,,YES -  I would be interested in becoming a volunteer
155,50 - 70,Female ,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Agree,"I believe the Garden Quarter very much needs a hub for social activities which may include fundraising events which we do not do much of anymore. We enjoyed the music evenings, quiz nights and wine tasting nights which have stopped. Although we very much enjoyed the street parties the smaller, intimate events mentioned above were very much more our favourite events.",Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,"I would love it to be a place where I could learn new skills such as any crafts, drawing and painting, pottery  and gardening. Learning a new language . Learn to cook food from other countries. A place to share and swop books. Maybe even a theatre group to put on a Christmas pantomime!
We have a diverse and talented community who could share their skills.",YES -  I would be interested in becoming a volunteer
156,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Drama;Arts exhibitions;Music / singing classes;Live theatre;Community coffee mornings;Community social events;Activities for young people;Activities for seniors;,Neutral,Strongly Disagree,Strongly Disagree,,Neutral,Neutral,Neutral,Agree,Neutral,,YES -  I would be interested in becoming a volunteer
157,50 - 70,Female,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Creative workshops;Arts exhibitions;Live music;Activities for children;Activities for young people;Activities for seniors;,Agree,Neutral,Agree,,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,,
158,50 - 70,Male,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Live music;Music / singing classes;Community cafe;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Agree,Agree,Agree,,No thanks
159,70 +,Male,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Music / singing classes;Live theatre;Community cafe;Community coffee mornings;A place to worship;Activities for seniors;Photography;Drama;Live music;Community cinema;,Strongly Agree,Agree,Agree,,Neutral,Agree,Agree,Neutral,Agree,"It would be good to see the building used throughout the week, not just on Sundays and for special events.",No thanks
160,50 - 70,Female,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Community coffee mornings;Community cinema;A place to worship;Community social events;,Strongly Agree,Strongly Agree,Neutral,,Neutral,Strongly Agree,Neutral,Disagree,Neutral,,No thanks
161,18 - 30,Female,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Drama;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;A toddler group;Activities for children;Community book club;Photography;Live music;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,"I feel it would be great if the building was used for multiple purposes such as worship, community centre, cafe etc. There does not seem to be enough demand for it to be used entirely for worship, but it would be sad for the community to lose this entirely. There is a fantastic sense of community in the Garden Quarter and this could be the hub for it all.  ",No thanks
162,50 - 70,Female ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Community social events;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Agree,Strongly Agree,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The Garden Quarter is a unique place to live and it will be wonderful to finally have a permanent space to call home.  Huge thanks to the Uniting Church in Garden Lane for all their support and collaboration over the years. So looking forward now to this exciting new partnership.,YES -  I would be interested in becoming a volunteer
163,18 - 30,female ,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Disagree,Disagree,,Agree,Neutral,Agree,Agree,Agree,,
164,31 - 49,Female ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Creative writing;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Strongly Agree,This space needs to continue for the community ,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
165,18 - 30,,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Creative workshops;Creative writing;Community coffee mornings;Community cafe;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;A toddler group;Activities for children;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Agree,Agree,,Disagree,Neutral,Agree,Disagree,Agree,,
166,50 - 70,Male,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Strongly Agree,I think you have covered all possibilities in the previous broad list.,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,The inside certainly needs upgrading to encourage and facilitate a broader use and to attract those members of the community who only see it as a place of worship. ,YES -  I would be interested in becoming a volunteer
167,50 - 70,male,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community book club;Activities for young people;Community social events;,Neutral,Disagree,Agree,,Strongly Agree,Agree,Agree,Agree,Agree,,YES -  I would be interested in becoming a volunteer
168,50 - 70,Female,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Strongly Disagree,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
169,18 - 30,Female,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Community coffee mornings;Pop-up fruit and veg weekly market;Community social events;Activities for young people;Fitness / yoga / pilates / dance classes;Community book club;Counselling / wellbeing services;,Neutral,Neutral,Neutral,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,YES -  I would be interested in becoming a volunteer
170,18 - 30,Male,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Photography;Live music;Music / singing classes;Community cinema;,Neutral,Disagree,Disagree,,Neutral,Agree,Agree,Agree,Agree,,No thanks
171,31 - 49,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Fitness / yoga / pilates / dance classes;Creative workshops;Counselling / wellbeing services;Community social events;,Neutral,Strongly Agree,Neutral,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Please do a quiz night!!! :) ,No thanks
172,18 - 30,Female ,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;Community book club;Community social events;Community cafe;Live theatre;,Strongly Agree,Agree,Agree,,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,A local Pilates class would be personally very helpful. I also find sustainable local market offerings very enticing. The facilitation of stalls or markets towards Christmas would be fantastic. Think Bishy Road in York. Possibilities are endless and the church is a great central hub for facilitating lots of different ideas. I do however recognise that a quiet space for reflection and worship should be retained.,YES -  I would be interested in becoming a volunteer
173,31 - 49,Male,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Community social events;Fitness / yoga / pilates / dance classes;Creative workshops;Photography;Drama;,Neutral,Neutral,Agree,"As a professional musician, writer and performer who also enjoys an environment where others can also enjoy the arts and spaces of reflection this seems like a great thing. I recently enjoyed a drama performance in the building and would love to see more things like this happening there. I would use the building to rehearse if that was possible. ",Neutral,Agree,Agree,Neutral,Agree,"As a professional musician, writer and performer who also enjoys an environment where others can also enjoy the arts and spaces of reflection this seems like a great thing. I recently enjoyed a drama performance in the building and would love to see more things like this happening there. I would use the building to rehearse if that was possible. As a live performance space I would be interested in putting on events in the space I have contacts with all major musicians from all over the UK and I also run a record label.",YES -  I would be interested in becoming a volunteer
174,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community coffee mornings;Community cafe;Community cinema;Community social events;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Neutral,,Agree,Agree,Agree,Neutral,Agree,The central location of the building is one of its strongest assets although I don't think many people have been over the threshold. I think it would be great if the University could move some of its community activities such as lectures into the building as local residents may be wary of going onto the campus. It's a good venue for meeting of local groups as well. It's a great asset. ,No thanks
175,50 - 70,Female,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fitness / yoga / pilates / dance classes;Pop-up fruit and veg weekly market;Creative workshops;Community cinema;,Strongly Agree,Neutral,Neutral,,Neutral,Neutral,Agree,Disagree,Neutral,It will be nice to see more activity in the building and will endeavour to partake in actvities as and when they do occur.,No thanks
176,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Community cafe;Pop-up fruit and veg weekly market;A place to worship;Community social events;Community book club;,Neutral,Strongly Agree,Strongly Agree,I was neutral on question 9 because whilst I really believe that this should be the heart of Christian worship in the community I  don't think this has to be a traditional service on a Sunday. Can we be creative at other times in the week?,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
177,31 - 49,Female ,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Neutral,I’m not of any faith but don’t have an issue if the space is used for faith activities. It would be great to see the space open for different faiths if people requested ,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"A community hub space is a massive asset for the community and does so much to improve inclusivity and avoid social isolation.. I’ve seen this in other areas such as Hoole. Having kitchen facilities and/or a cafe greatly improves the potential for functions and gatherings. Having as large a function space as possible, with scope to zone the space into smaller areas (eg screens or accordion style doors) means it is much more adaptable esp with social distancing or sessions involving movement etc. I would love to have a semi regular market or a fix it group or leisure groups running from this space. A cafe that has a free play area would be an easy place for me to meet friends who are parents. Maybe the cafe could be run as a social enterprise ? 
It would be great to still use the space for community activities such as meetings and consultations with the council, drop off for the food bank etc. Car parking would need to be taken into account. 
I would welcome opportunity to hire the space for occasional classes I run or for music rehearsal space. Look forward for hearing how this progresses and how community members might be able to help with fundraising or helping to build up this new asset. ",YES -  I would be interested in becoming a volunteer
178,31 - 49,male,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Creative workshops;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Community cookery;Fitness / yoga / pilates / dance classes;Music / singing classes;Drama;,Agree,Neutral,Neutral,,Agree,Strongly Agree,Agree,Agree,Agree,a shared and flexible/versatile space can benefit many different people in the local vacinity that will have a positive effect on the area. i see this project as a great thing.,YES -  I would be interested in becoming a volunteer
